实例ID,最优目标值（Project Total Cost）,最优工作包划分
j202_3,1044.9251175904246,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,13]; I14:[14]; A2:[12,15,16,17,20]; I21:[21]; A3:[18,19]; I22:[22]"
j202_4,930.698832324887,"I1:[1]; I19:[19]; A1:[2,3,4,9,12,13,14,15,16,17,18,20,21]; I5:[5]; A2:[6,7,8,10,11]; I22:[22]"
j202_5,1200.5717506894994,"I1:[1]; I2:[2]; A1:[3,4]; A2:[5]; A3:[6,7,8,9,10,11,12,14,16]; I18:[18]; A4:[13,15,17,20,21]; A5:[19]; I22:[22]"
j202_6,1127.1178044523676,"I1:[1]; A1:[2,3,4,5,7,13,16,17]; I6:[6]; I19:[19]; A2:[8,9,10,11,12,14,15,18,20,21]; I22:[22]"
j202_7,1028.4679163047974,"I1:[1]; A1:[2,3,4,5,6,7,8]; I11:[11]; A2:[9,10,12,13,14,15,16,18]; I20:[20]; A3:[17,19,21]; I22:[22]"
j202_8,946.1474218760698,"I1:[1]; I11:[11]; A1:[2,3,4,5,6,7,8,10,15,16,17,18,19,20,21]; I9:[9]; A2:[12,13,14]; I22:[22]"
j202_9,1226.8506270794871,"I1:[1]; I5:[5]; A1:[2,3,7,8]; I14:[14]; A2:[4,6,9,10,12,17,18,19,20,21]; A3:[11,13,15,16]; I22:[22]"
j202_10,1054.9720717985433,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,14]; A2:[13,16]; I15:[15]; A3:[17,18,19,21]; I20:[20]; I22:[22]"
j203_1,1007.4885467824942,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13]; I14:[14]; I15:[15]; A2:[16,17,18,19,20,21]; I22:[22]"
j203_2,918.0257132470311,"I1:[1]; A1:[2,3,4,5,16,19,20,21]; I6:[6]; I15:[15]; A2:[7,8,9,10,11,12,13,14,17,18]; I22:[22]"
j203_3,1195.7812099937694,"I1:[1]; I2:[2]; A1:[3,4,5]; I6:[6]; A2:[7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]; I22:[22]"
j203_4,1291.920370681084,"I1:[1]; A1:[2,4,5,13]; I3:[3]; A2:[6,7,8,9,11,12,21]; I10:[10]; A3:[14,15,16,17,18,19,20]; I22:[22]"
j203_5,1026.6837241149738,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21]; I18:[18]; I17:[17]; I22:[22]"
j203_6,1198.0637492221817,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20]; I17:[17]; A2:[19]; I21:[21]; I22:[22]"
j203_7,1238.1044420877142,"I1:[1]; I14:[14]; A1:[2,3,4,5,6,10,18,19,20,21]; A2:[7,8,9,11,12,13,16,17]; I15:[15]; I22:[22]"
j203_8,957.9409179133565,"I1:[1]; I2:[2]; A1:[3,5,6,7]; I4:[4]; A2:[8,9,10,11,12,13,14,15,16,17,18,19,20,21]; I22:[22]"
j203_9,1248.7988548076285,"I1:[1]; A1:[2,3,4,6,7,21]; I5:[5]; A2:[8,9,10,11,12,13,14,15,16,17,18,20]; I19:[19]; I22:[22]"
j203_10,1202.498329249729,"I1:[1]; A1:[2,3]; A3:[6,17]; I4:[4]; A2:[5,7,8,9,10,11,12,13,14,15,16,18,19,20]; I21:[21]; I22:[22]"
j204_1,1267.7570277309092,"I1:[1]; A1:[2,3,4,5,7,9]; I6:[6]; A2:[8,10,11,12,13,14,18]; I15:[15]; A3:[16,17,19,20,21]; I22:[22]"
j204_2,1318.796886982312,"I1:[1]; A1:[2,3,4,5,6,7,12,13]; I8:[8]; A2:[9,10,11,14,15,16,17,19,21]; I18:[18]; A3:[20]; I22:[22]"
j204_3,959.0966959266377,"I1:[1]; A1:[2,3,4,5,6,7,9,20,21]; I8:[8]; A2:[10,11,12,13,14,15,16,17,18]; I19:[19]; I22:[22]"
j204_4,1150.6924984969219,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,18,19,20,21]; I11:[11]; A2:[12,13,14,15,16]; I17:[17]; I22:[22]"
j204_5,1355.0777571031235,"I1:[1]; A1:[2,3,4,5,6,7,8,10,18]; I9:[9]; A2:[11,12,13]; I14:[14]; A3:[15,16,17,19,20,21]; I22:[22]"
j204_6,1212.0962702413917,"I1:[1]; I2:[2]; I20:[20]; A1:[3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21]; I22:[22]"
j204_7,1218.1893759518014,"I1:[1]; I5:[5]; A1:[2,3,4,6,7,8,9,10,11,15]; I12:[12]; A2:[13,14,16,17,18,19,20,21]; I22:[22]"
j204_8,1030.6062444156812,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,14,21]; I12:[12]; A2:[13,15,16,20]; I17:[17]; A3:[18,19]; I22:[22]"
j204_9,1154.6159941977253,"I1:[1]; A1:[2,3,4,5,6,7,8,9,20,21]; I10:[10]; A2:[11]; I12:[12]; A3:[13,14,15,16,17,18,19]; I22:[22]"
j204_10,1211.3958579306945,"I1:[1]; I21:[21]; A1:[2,3,4,5,6,7,8,9,12,20]; I10:[10]; A2:[11,13,14,15,16,17,18,19]; I22:[22]"
j205_1,1157.3868361153034,"I1:[1]; I2:[2]; A1:[3,4,5,6,7,8,9,10,11,12]; I13:[13]; A2:[14,15,16,17,18,19,20,21]; I22:[22]"
j205_2,1221.740301661616,"I1:[1]; A1:[2,3]; I4:[4]; A2:[5,6,7,8,9,10,11,12,13,14]; I15:[15]; A3:[16,17,18,19,20,21]; I22:[22]"
j205_3,1253.3537617653913,"I1:[1]; A1:[2,3,4,5,6,7,8,9]; I10:[10]; A2:[11,12,13,14,15,16,17]; I18:[18]; A3:[19,20,21]; I22:[22]"
j205_4,1478.8802828603932,"I1:[1]; I2:[2]; A1:[3]; I4:[4]; A2:[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]; I22:[22]"
j205_5,1459.3411983156573,"I1:[1]; A1:[2,3,4,5,6]; I7:[7]; A2:[8,9,10,11,12,13,14,15,16,17,18,19,20]; I21:[21]; I22:[22]"
j205_6,1507.1383095013348,"I1:[1]; A1:[2]; I3:[3]; A2:[4,5,6,7,8,9,10]; I11:[11]; A3:[12,13,14,15,16,17,18,19,20,21]; I22:[22]"
j205_7,1276.3026892549958,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13]; I14:[14]; A2:[15,16,17,18,19]; I20:[20]; A3:[21]; I22:[22]"
j205_8,1512.8207663444014,"I1:[1]; A1:[2,3,4,5,6,7]; I8:[8]; A2:[9,10,11,12,13,14,15,16,17,18,19]; I20:[20]; A3:[21]; I22:[22]"
j205_9,1405.7372186263267,"I1:[1]; A1:[2,3,4]; I5:[5]; A2:[6,7,8,9,10,11,12,13,14,15,16,17,18]; I19:[19]; A3:[20,21]; I22:[22]"
j205_10,1692.0077974172498,"I1:[1]; A1:[2]; I3:[3]; A2:[4,5,6,7,8,9,10,11]; I12:[12]; A3:[13,14,15,16,17,18,19,20,21]; I22:[22]"
