实例ID,最优目标值,任务开始时间
j302_5,51,"[0,0,0,10,2,3,36,5,16,26,13,15,7,13,32,19,38,41,11,20,31,23,31,42,36,39,33,49,33,42,50,51]"
j302_6,47,"[0,0,0,0,4,4,4,6,14,8,5,4,4,29,14,13,37,18,25,27,36,29,32,18,32,34,42,37,37,46,45,47]"
j302_7,47,"[0,16,0,0,8,17,17,9,21,8,8,31,15,18,23,28,23,36,29,33,13,29,32,6,32,39,41,33,46,37,42,47]"
j302_8,54,"[0,0,0,9,3,3,9,19,18,9,9,32,27,10,35,28,14,39,37,30,25,18,26,36,41,37,32,46,49,51,42,54]"
j302_9,54,"[0,0,0,0,8,5,5,10,17,8,25,25,14,38,1,32,20,40,16,32,4,32,31,39,42,38,38,29,47,48,46,54]"
j302_10,43,"[0,0,6,0,8,10,6,13,12,7,8,19,7,19,12,16,12,19,19,27,17,27,30,17,21,22,29,30,34,40,39,43]"
j303_1,72,"[0,0,0,0,4,7,10,20,20,17,11,20,27,21,37,54,17,27,1,55,50,48,9,37,49,47,55,66,67,71,63,72]"
j303_2,40,"[0,0,20,0,5,6,12,12,11,9,23,6,20,11,32,26,22,21,12,20,28,31,32,31,28,32,35,35,37,38,37,40]"
j303_3,57,"[0,8,0,0,1,6,7,6,1,7,15,24,7,26,13,36,12,37,7,1,16,26,15,36,45,20,48,22,52,47,49,57]"
j303_4,98,"[0,0,0,0,3,13,7,13,18,28,36,45,36,42,28,52,45,7,95,45,18,61,42,18,36,71,78,81,51,96,89,98]"
j303_5,53,"[0,0,0,0,1,9,7,9,18,18,18,1,26,17,17,14,7,31,40,35,26,41,36,17,40,28,38,47,49,48,45,53]"
j303_6,54,"[0,0,14,1,3,1,3,5,3,3,11,15,11,20,19,15,29,14,21,30,4,31,30,29,31,33,40,40,47,44,44,54]"
j303_7,48,"[0,0,10,0,10,16,28,22,10,39,16,16,8,28,27,16,21,27,17,32,24,31,8,24,39,36,39,34,45,44,40,48]"
j303_8,54,"[0,0,0,0,7,5,12,7,11,18,19,4,9,44,7,29,38,41,35,20,29,43,20,8,27,35,41,38,44,49,49,54]"
j303_9,65,"[0,0,0,0,6,11,1,14,1,15,8,18,6,11,13,21,37,2,14,22,30,15,21,16,6,37,27,47,47,37,56,65]"
j303_10,59,"[0,0,0,0,2,9,4,9,9,5,37,20,10,17,19,25,23,19,14,35,8,23,25,4,32,39,46,41,50,39,53,59]"
j304_1,49,"[0,0,0,0,7,4,4,6,4,7,8,6,17,6,27,11,35,42,15,34,15,7,18,17,28,36,34,39,43,42,41,49]"
j304_2,60,"[0,0,0,0,5,8,5,8,13,8,5,6,13,21,6,28,8,28,20,34,37,47,37,21,29,47,37,50,52,53,34,60]"
j304_3,47,"[0,0,0,0,6,13,6,8,13,6,10,17,13,19,15,21,30,36,9,19,10,25,19,23,13,34,35,32,39,39,41,47]"
j304_4,57,"[0,0,0,0,1,1,1,5,4,8,4,12,6,16,12,6,18,22,7,26,17,16,38,21,30,40,25,40,50,49,47,57]"
j304_5,59,"[0,0,0,0,10,7,13,19,6,9,30,4,23,24,9,25,19,39,20,25,35,6,28,48,37,35,44,45,53,51,50,59]"
j304_6,45,"[0,0,0,0,9,5,9,19,8,29,18,8,9,22,5,23,5,31,33,6,40,34,19,34,23,18,41,34,44,39,44,45]"
j304_7,56,"[0,0,0,0,3,4,3,12,3,18,5,24,13,24,13,20,18,45,4,5,40,29,20,38,45,13,38,43,46,49,50,56]"
j304_8,55,"[0,0,0,0,8,6,9,15,9,8,11,10,15,25,6,11,11,17,26,10,39,20,18,43,34,25,34,39,46,45,54,55]"
j304_9,38,"[0,0,0,0,4,4,10,4,8,8,12,8,12,12,21,6,20,6,13,21,7,29,10,6,19,21,24,31,34,30,35,38]"
j304_10,48,"[0,0,0,0,9,3,2,3,11,6,15,22,11,19,32,9,2,4,11,38,15,8,17,26,20,9,41,40,39,41,44,48]"
j305_1,53,"[0,5,1,0,5,1,8,5,28,15,23,21,21,28,32,6,36,39,16,40,19,39,33,35,47,41,43,32,47,44,49,53]"
j305_2,82,"[0,0,34,9,9,20,17,39,18,49,9,28,20,41,49,41,57,50,57,17,18,26,64,34,59,50,65,59,74,45,73,82]"
j305_3,76,"[0,6,0,0,6,4,14,25,54,16,25,33,24,42,16,25,43,4,42,33,47,39,57,62,51,33,43,53,50,62,67,76]"
j305_4,63,"[0,0,0,6,25,16,10,22,16,25,16,6,22,22,34,39,39,48,16,39,32,16,27,48,47,53,49,36,54,55,56,63]"
j305_5,76,"[0,0,0,0,13,4,4,23,23,13,44,27,59,59,33,33,27,40,34,69,28,9,40,46,56,52,66,69,60,75,46,76]"
j305_6,64,"[0,9,0,0,10,17,20,17,25,8,49,44,11,32,25,11,52,23,24,3,23,39,53,36,33,34,48,44,61,54,54,64]"
j305_7,76,"[0,10,0,0,19,52,22,6,25,36,33,10,34,43,14,30,41,36,61,41,53,19,59,41,51,58,52,53,68,61,66,76]"
j305_8,67,"[0,14,0,0,1,9,27,1,46,8,18,13,17,9,28,36,23,35,25,44,38,51,54,51,9,38,38,37,64,64,57,67]"
j305_9,49,"[0,0,0,0,4,12,12,20,1,10,31,11,29,8,10,16,38,26,26,17,18,11,12,26,18,36,44,44,40,28,47,49]"
j305_10,70,"[0,0,0,0,3,18,30,36,27,13,39,44,46,4,52,16,35,35,50,44,18,54,22,46,54,28,46,27,63,56,57,70]"
j306_1,59,"[0,0,0,0,15,10,10,24,26,18,24,42,27,15,17,22,15,33,40,35,34,41,45,35,21,24,28,47,49,54,52,59]"
j306_2,51,"[0,0,16,0,1,4,26,5,13,13,22,32,21,16,23,13,28,29,7,24,33,24,38,17,39,40,39,44,46,39,49,51]"
j306_3,48,"[0,0,0,0,6,3,11,24,14,14,22,18,9,15,21,32,19,12,16,38,15,28,23,21,41,24,28,36,42,41,42,48]"
j306_4,42,"[0,0,0,9,5,1,1,12,17,11,5,19,14,20,15,20,19,26,27,16,5,26,26,34,5,34,34,34,37,35,37,42]"
j306_5,67,"[0,0,4,0,13,20,23,13,1,30,3,4,13,34,22,17,45,13,37,31,30,38,50,42,49,57,48,51,66,58,59,67]"
j306_6,37,"[0,0,0,0,1,8,17,8,4,19,5,13,1,12,15,12,2,24,19,2,4,8,15,27,16,22,27,28,30,34,32,37]"
j306_7,46,"[0,12,0,0,7,7,29,8,11,11,32,12,20,8,18,13,32,26,25,26,22,31,33,32,38,35,40,20,42,41,43,46]"
j306_8,39,"[0,0,0,0,5,7,12,12,20,5,28,14,2,7,7,23,20,14,12,23,27,30,23,28,29,22,31,36,37,33,37,39]"
j306_9,51,"[0,0,0,0,9,10,6,10,6,20,25,34,17,20,38,13,27,16,26,9,28,27,34,35,10,38,38,39,43,43,43,51]"
j306_10,61,"[0,0,0,0,5,10,4,15,18,25,6,18,10,12,15,23,29,23,37,45,29,35,45,35,25,32,42,42,55,52,45,61]"
j307_1,55,"[0,0,0,0,8,6,12,8,8,16,10,13,20,19,13,26,2,46,22,16,10,11,25,29,22,35,35,11,45,47,45,55]"
j307_2,42,"[0,0,0,0,7,14,8,14,7,3,7,17,16,7,20,31,3,17,16,29,22,25,26,27,31,34,32,32,33,38,41,42]"
j307_3,42,"[0,0,4,0,4,4,4,12,14,14,14,31,14,20,33,22,24,24,26,12,32,32,31,38,26,31,30,35,36,40,37,42]"
j307_4,44,"[0,0,0,0,5,9,11,11,7,16,25,14,14,7,7,28,35,11,17,38,21,22,23,32,27,26,27,31,37,42,41,44]"
j307_5,44,"[0,0,0,0,1,11,1,3,9,1,9,3,13,11,13,15,8,16,17,23,15,30,20,9,26,27,29,34,33,35,39,44]"
j307_6,35,"[0,0,0,0,5,3,8,8,10,1,13,6,31,1,8,6,10,6,13,13,10,10,18,13,14,10,18,23,33,28,22,35]"
j307_7,50,"[0,0,0,0,1,4,14,1,5,14,18,22,31,21,8,24,37,32,38,26,2,18,25,37,43,28,39,34,43,44,46,50]"
j307_8,44,"[0,0,0,0,8,3,3,14,11,15,23,8,19,15,3,32,25,36,24,21,36,32,38,36,26,34,35,24,40,39,43,44]"
j307_9,60,"[0,0,0,0,9,9,2,9,12,14,14,10,18,33,11,24,27,2,41,18,15,41,42,34,38,20,46,42,52,37,56,60]"
j307_10,49,"[0,0,0,0,4,10,15,34,15,17,10,10,20,10,37,15,20,34,26,32,33,34,26,41,31,34,42,45,42,47,20,49]"
j308_1,44,"[0,0,0,0,7,7,6,9,9,11,8,9,9,10,8,23,9,7,10,11,16,24,32,16,25,18,37,31,39,39,34,44]"
j308_2,51,"[0,0,0,0,6,9,29,6,5,13,5,30,13,14,14,21,21,23,20,5,47,19,13,30,15,36,44,37,43,50,42,51]"
j308_3,53,"[0,0,0,0,9,16,5,5,9,4,17,40,4,17,23,14,17,42,9,20,19,29,35,33,41,43,42,20,45,50,50,53]"
j308_4,48,"[0,0,0,0,2,6,2,10,12,8,5,12,5,15,10,2,14,22,33,32,6,16,12,30,26,37,35,36,46,42,44,48]"
j308_5,58,"[0,0,0,0,3,1,5,1,9,18,5,6,3,5,9,13,18,26,26,11,1,32,17,18,30,34,43,31,51,34,52,58]"
j308_6,47,"[0,0,0,0,4,1,4,5,22,11,11,24,19,1,29,4,21,13,32,34,14,31,23,29,34,34,5,35,45,37,44,47]"
j308_7,41,"[0,0,0,0,7,4,12,4,4,7,4,10,24,13,6,29,26,4,19,12,12,21,14,18,24,23,30,29,34,37,31,41]"
j308_8,51,"[0,0,0,0,3,3,4,13,9,13,3,18,18,9,31,30,37,25,19,5,19,34,41,40,44,29,37,36,45,46,35,51]"
j308_9,39,"[0,0,0,0,6,4,1,4,14,11,11,1,5,7,6,14,19,14,20,28,32,19,27,1,14,15,23,30,35,32,31,39]"
j308_10,67,"[0,0,0,0,2,9,9,7,16,22,29,36,16,17,9,29,53,28,36,22,40,29,35,39,45,50,41,51,66,58,60,67]"
j309_1,83,"[0,21,0,0,32,37,8,10,10,15,6,15,28,21,26,52,44,29,49,45,53,67,37,45,58,62,64,10,75,75,69,83]"
j309_2,92,"[0,49,0,7,14,18,18,22,41,52,7,19,24,29,35,59,55,16,68,67,28,82,59,50,76,67,58,23,88,41,80,92]"
j309_3,68,"[0,11,0,42,21,8,26,50,26,8,36,12,32,12,21,21,53,60,36,29,31,52,32,46,25,39,54,55,65,60,62,68]"
j309_4,71,"[0,0,0,4,9,4,15,10,13,48,35,24,21,41,57,22,52,62,25,31,25,61,24,66,31,39,48,27,24,70,63,71]"
j309_5,70,"[0,0,6,9,10,17,10,21,25,9,37,47,17,24,25,49,40,24,14,30,39,49,34,61,39,65,55,62,66,56,69,70]"
j309_6,59,"[0,0,1,10,16,21,1,23,34,49,10,51,15,1,44,36,17,23,42,25,24,26,34,55,26,33,41,50,57,51,58,59]"
j309_7,63,"[0,0,12,4,4,16,29,24,4,33,26,31,16,24,12,45,27,41,48,48,34,49,41,14,55,56,46,47,53,55,58,63]"
j309_8,91,"[0,0,18,0,10,28,35,46,14,46,13,59,38,6,18,55,47,39,67,47,63,85,75,12,75,65,81,28,86,87,90,91]"
j309_9,63,"[0,7,12,0,29,18,7,41,12,11,16,32,32,36,35,22,32,19,37,28,43,41,36,38,55,49,58,55,59,46,62,63]"
j309_10,88,"[0,0,0,30,7,13,15,13,9,20,37,36,23,46,58,50,33,55,77,65,54,69,37,63,77,42,73,69,79,81,86,88]"
j3010_1,42,"[0,0,0,0,6,6,6,10,15,20,9,20,20,37,5,5,10,15,35,21,25,28,30,16,20,35,30,29,40,32,39,42]"
j3010_2,56,"[0,0,0,0,18,7,11,5,20,12,18,15,20,31,17,25,28,9,39,29,27,38,34,38,44,46,39,42,47,53,51,56]"
j3010_3,62,"[0,0,0,0,9,8,10,18,12,21,15,13,16,28,21,32,21,1,30,38,45,30,36,53,44,46,47,37,18,55,53,62]"
j3010_4,58,"[0,0,0,0,13,9,5,21,17,9,27,29,9,32,23,17,37,6,27,29,41,23,46,35,34,37,45,49,50,51,50,58]"
j3010_5,41,"[0,0,0,0,9,10,15,9,1,1,20,13,24,8,15,9,20,26,27,2,23,27,33,16,1,22,36,32,35,38,37,41]"
j3010_6,44,"[0,0,0,0,6,6,21,7,26,4,16,8,7,18,21,30,25,4,12,24,25,24,16,29,36,26,30,33,41,38,27,44]"
j3010_7,49,"[0,0,0,0,15,7,19,7,10,10,20,15,11,11,14,31,36,24,26,17,36,21,27,29,36,28,40,36,43,39,46,49]"
j3010_8,54,"[0,5,0,0,7,25,7,8,30,19,5,8,15,8,22,10,10,24,43,49,30,22,18,33,30,32,33,41,52,43,49,54]"
j3010_9,49,"[0,0,0,0,2,2,2,15,2,10,7,7,7,12,20,20,23,20,21,24,21,10,10,21,40,31,40,43,45,43,43,49]"
j3010_10,41,"[0,0,0,0,9,1,19,7,10,23,10,11,10,12,21,1,13,19,9,13,26,19,22,23,28,27,31,32,39,35,35,41]"
j3011_1,54,"[0,1,0,0,1,1,8,19,7,6,12,17,13,26,24,19,6,13,29,20,19,31,30,38,26,33,42,41,46,46,46,54]"
j3011_2,56,"[0,0,0,0,7,18,12,9,26,9,21,12,17,22,26,36,43,19,25,32,35,43,37,14,27,32,39,47,46,38,50,56]"
j3011_3,81,"[0,0,0,0,49,10,54,17,59,21,25,36,9,17,54,33,21,36,55,59,59,55,72,64,43,49,59,66,77,80,72,81]"
j3011_4,63,"[0,0,0,0,9,8,8,15,22,23,2,23,16,22,32,27,40,28,32,25,36,36,42,32,49,42,46,49,50,53,59,63]"
j3011_5,49,"[0,0,0,14,1,5,13,20,5,1,3,15,31,15,13,23,18,27,23,27,40,23,34,29,40,44,33,39,47,45,44,49]"
j3011_6,44,"[0,7,0,0,4,6,12,7,22,17,12,4,12,14,4,12,12,29,32,21,29,13,27,34,35,40,17,38,34,41,39,44]"
j3011_7,36,"[0,0,0,0,10,2,2,4,17,2,19,4,9,9,13,13,23,13,13,10,13,23,28,19,32,30,6,22,28,32,33,36]"
j3011_8,62,"[0,0,0,0,7,7,16,25,23,25,54,16,23,28,31,23,37,43,12,8,35,43,35,27,43,44,53,45,56,56,53,62]"
j3011_9,67,"[0,0,0,0,7,3,8,6,13,14,23,22,26,28,26,23,8,13,17,3,28,28,36,22,45,31,45,54,63,52,65,67]"
j3011_10,38,"[0,0,0,7,4,4,3,4,10,3,10,7,14,22,14,15,25,17,22,13,25,35,20,26,25,35,22,29,37,32,26,38]"
j3012_1,47,"[0,0,0,0,8,8,8,18,2,4,18,4,18,11,24,24,9,4,23,30,35,18,23,32,36,29,30,33,40,40,39,47]"
j3012_2,46,"[0,0,0,0,8,15,8,6,12,16,21,12,6,21,3,21,28,16,21,29,17,20,40,28,29,21,34,36,38,36,43,46]"
j3012_3,37,"[0,0,0,0,2,2,4,9,2,7,2,13,26,7,7,16,19,4,25,20,23,17,26,25,31,16,22,23,31,33,31,37]"
j3012_4,63,"[0,0,0,0,9,9,37,50,5,5,23,52,10,12,15,10,19,26,38,38,22,28,44,37,44,26,39,43,61,53,57,63]"
j3012_5,47,"[0,0,0,0,1,1,11,11,11,1,3,38,25,10,3,6,33,16,20,29,21,38,24,11,41,29,34,38,42,40,39,47]"
j3012_6,53,"[0,0,0,0,10,10,20,10,21,8,20,21,17,26,31,20,4,35,13,33,27,13,34,43,23,32,40,44,44,43,51,53]"
j3012_7,55,"[0,0,0,0,6,9,7,22,16,9,12,6,24,6,16,17,20,7,30,17,32,30,45,40,35,16,22,33,45,47,48,55]"
j3012_8,35,"[0,0,0,0,3,3,3,6,8,8,6,6,8,16,6,16,16,11,8,11,8,9,16,20,25,16,26,25,27,27,27,35]"
j3012_9,52,"[0,0,0,0,2,2,5,8,7,7,5,5,13,13,17,6,21,23,15,22,17,26,41,42,30,24,39,38,45,51,43,52]"
j3012_10,57,"[0,0,0,0,9,9,15,8,8,8,17,19,53,9,19,19,50,22,23,19,39,50,32,39,43,46,53,53,49,56,55,57]"
j3013_1,,
j3013_2,,
j3013_3,,
j3013_4,72,"[0,0,10,0,8,20,16,18,32,26,39,42,26,45,59,49,51,32,45,59,52,53,62,63,63,54,70,38,63,69,71,72]"
j3013_5,,
j3013_6,,
j3013_7,,
j3013_8,106,"[0,0,0,10,10,15,24,33,39,33,40,57,15,49,71,39,56,46,71,65,80,77,81,56,90,80,91,66,98,87,99,106]"
j3013_9,71,"[0,0,0,10,10,2,15,18,64,19,39,29,48,23,10,52,49,50,20,21,35,40,52,60,29,42,59,62,68,67,62,71]"
j3013_10,64,"[0,0,0,13,6,14,24,22,23,14,50,1,34,37,15,12,44,48,5,34,18,32,37,50,28,50,34,52,59,61,63,64]"
j3014_1,50,"[0,35,0,0,2,6,2,10,6,16,10,10,12,9,19,17,24,17,7,12,29,20,27,26,37,38,45,35,41,47,45,50]"
j3014_2,53,"[0,0,0,0,3,10,11,9,17,16,27,17,11,34,17,26,33,27,27,31,7,28,28,38,9,41,40,42,44,50,41,53]"
j3014_3,58,"[0,0,0,10,10,15,23,17,26,9,29,9,25,27,34,42,12,27,47,32,41,45,34,27,14,31,51,41,50,53,48,58]"
j3014_4,50,"[0,0,5,0,6,10,14,17,6,8,16,17,19,20,10,21,26,21,22,23,25,36,17,32,31,40,42,32,31,46,46,50]"
j3014_5,52,"[0,0,8,0,2,14,2,9,28,9,12,6,15,20,44,17,30,31,21,16,28,16,40,29,18,22,29,34,45,50,43,52]"
j3014_6,35,"[0,0,0,0,6,3,10,3,8,4,14,10,7,5,10,12,11,16,13,16,19,21,21,21,27,28,21,27,30,29,29,35]"
j3014_7,50,"[0,0,0,0,2,5,5,13,4,11,9,24,20,21,30,16,24,11,27,38,27,36,36,21,31,31,45,41,44,48,45,50]"
j3014_8,54,"[0,0,0,0,40,7,33,7,16,23,23,9,12,18,35,16,33,24,15,28,15,38,20,40,27,40,35,44,41,50,53,54]"
j3014_9,46,"[0,30,0,0,5,13,5,5,18,9,14,14,21,27,32,22,33,10,39,21,30,23,30,39,28,33,43,40,45,43,44,46]"
j3014_10,61,"[0,0,0,0,14,30,9,27,5,20,20,52,27,17,18,27,27,46,36,1,37,36,46,44,40,5,52,48,56,53,53,61]"
j3015_1,46,"[0,0,0,0,2,10,3,10,4,13,3,7,2,23,15,19,9,8,26,35,26,23,29,36,30,24,43,42,44,45,45,46]"
j3015_2,47,"[0,0,0,0,26,6,8,8,15,6,23,10,10,14,9,19,6,15,24,22,7,7,32,11,28,19,23,36,33,44,37,47]"
j3015_3,48,"[0,0,0,0,20,10,3,10,9,17,22,10,18,7,18,15,22,23,13,23,25,33,19,27,28,22,26,26,38,46,46,48]"
j3015_4,48,"[0,0,0,0,3,7,7,11,10,11,21,10,6,10,18,6,6,27,16,11,27,18,15,40,24,37,39,38,47,45,45,48]"
j3015_5,58,"[0,0,0,0,6,8,15,6,15,23,21,18,33,30,16,38,24,24,24,32,37,38,15,36,36,33,46,40,55,49,52,58]"
j3015_6,67,"[0,0,0,0,6,6,6,4,13,6,21,21,17,29,36,17,31,4,48,8,13,45,39,46,11,23,55,36,52,63,65,67]"
j3015_7,47,"[0,0,0,0,9,13,6,2,2,6,13,16,27,16,16,17,21,30,19,19,24,15,28,35,40,31,40,45,46,43,43,47]"
j3015_8,50,"[0,27,0,0,1,8,10,1,10,17,19,8,21,8,14,11,27,31,17,22,33,26,21,36,27,36,42,44,49,49,36,50]"
j3015_9,54,"[0,0,0,0,6,16,11,6,13,16,11,25,11,46,27,8,17,36,21,30,30,21,21,26,31,29,39,44,48,46,46,54]"
j3015_10,65,"[0,0,0,0,6,4,12,22,25,5,12,25,32,33,20,20,29,35,12,23,43,17,51,22,43,29,35,48,55,55,46,65]"
j3016_1,51,"[0,0,0,0,8,2,18,18,22,28,1,8,1,19,26,7,31,37,11,29,39,32,8,38,41,39,44,48,43,49,49,51]"
j3016_2,48,"[0,0,0,0,5,5,9,9,10,18,18,28,5,27,10,9,28,17,18,13,33,38,20,36,41,31,40,18,44,32,39,48]"
j3016_3,36,"[0,0,0,0,1,5,5,8,11,8,5,8,11,5,9,11,22,12,1,11,20,18,5,11,25,22,27,19,26,29,30,36]"
j3016_4,47,"[0,0,0,0,32,1,4,6,6,6,7,1,8,7,10,26,10,33,17,32,33,27,16,10,38,24,34,32,43,41,38,47]"
j3016_5,51,"[0,0,0,0,7,8,8,34,23,13,7,9,20,8,15,1,25,27,34,35,12,45,34,22,29,37,44,34,42,48,49,51]"
j3016_6,51,"[0,0,0,0,7,13,13,9,13,36,7,39,16,9,7,21,9,36,39,36,14,24,32,40,14,44,14,39,45,44,47,51]"
j3016_7,34,"[0,0,0,0,2,3,9,2,3,10,13,10,23,5,3,15,2,5,25,12,22,19,11,26,25,26,30,26,33,29,32,34]"
j3016_8,44,"[0,0,0,0,1,1,3,1,2,30,11,3,2,2,4,11,14,15,14,29,18,11,38,19,17,25,34,30,34,40,40,44]"
j3016_9,44,"[0,0,0,0,5,6,5,5,16,4,7,16,6,8,38,26,6,26,28,30,35,16,38,7,16,38,16,42,40,43,37,44]"
j3016_10,51,"[0,0,0,0,4,6,16,6,6,19,7,42,37,10,11,11,14,21,31,29,31,7,37,37,36,42,16,33,43,42,49,51]"
j3017_1,64,"[0,0,0,0,26,5,15,21,13,35,33,15,2,23,5,26,27,45,35,13,9,45,35,54,58,51,35,55,57,63,48,64]"
j3017_2,68,"[0,0,0,0,7,14,23,29,7,39,39,10,25,5,22,37,29,13,45,26,55,33,10,33,36,61,53,55,58,66,62,68]"
j3017_3,60,"[0,0,0,0,7,17,22,17,22,27,22,17,17,44,31,31,31,36,40,36,44,33,36,42,45,43,47,49,52,59,53,60]"
j3017_4,49,"[0,0,0,0,8,16,2,7,16,19,11,19,33,28,8,24,21,26,36,11,35,28,11,39,46,33,31,39,47,47,47,49]"
j3017_5,47,"[0,3,0,0,5,6,13,1,5,23,25,1,4,6,29,23,13,5,23,13,13,23,29,32,32,38,29,38,40,44,42,47]"
j3017_6,63,"[0,0,0,0,3,4,17,4,3,10,14,21,22,14,15,23,11,39,24,33,4,50,32,46,42,33,41,45,53,53,54,63]"
j3017_7,57,"[0,0,0,0,9,1,9,9,9,20,26,19,16,17,29,9,23,29,29,36,37,31,10,41,49,42,32,40,50,53,47,57]"
j3017_8,61,"[0,0,0,0,1,5,16,5,27,23,5,8,8,15,36,17,15,23,24,23,32,40,42,42,49,43,44,50,52,53,53,61]"
j3017_9,48,"[0,0,0,0,3,9,3,7,16,9,34,16,23,31,12,16,25,27,32,22,11,16,26,33,33,36,43,41,44,39,37,48]"
j3017_10,66,"[0,0,0,0,10,9,16,12,51,24,37,5,11,9,21,10,10,46,16,16,24,33,37,35,34,53,40,49,56,56,56,66]"
j3018_1,53,"[0,0,0,0,8,17,9,4,13,8,8,14,17,24,14,17,19,17,33,36,22,31,30,24,34,34,42,42,37,40,52,53]"
j3018_2,55,"[0,0,0,0,3,9,7,9,7,21,13,33,19,7,12,29,27,27,35,21,36,23,32,23,32,38,43,43,51,51,51,55]"
j3018_3,56,"[0,0,0,0,5,1,1,32,30,13,21,12,38,27,6,1,27,30,28,33,43,38,38,35,38,41,44,48,51,51,47,56]"
j3018_4,70,"[0,0,3,0,11,11,3,20,26,14,20,26,7,27,16,20,28,30,20,33,41,40,36,26,40,49,51,52,60,49,61,70]"
j3018_5,52,"[0,0,0,0,2,2,4,6,9,9,16,30,2,19,4,37,4,14,27,18,32,18,29,18,22,42,41,37,48,47,47,52]"
j3018_6,62,"[0,0,0,0,10,2,6,19,20,18,6,8,10,28,10,25,32,18,18,29,33,19,33,30,45,36,43,55,61,55,48,62]"
j3018_7,48,"[0,5,0,0,8,8,8,13,15,13,21,12,15,21,27,21,21,28,19,29,5,10,18,41,28,28,35,36,44,44,41,48]"
j3018_8,52,"[0,0,0,0,2,4,4,6,4,13,13,8,18,6,15,13,22,3,18,28,16,25,28,35,20,28,39,32,39,42,42,52]"
j3018_9,47,"[0,0,0,0,2,17,7,10,10,10,3,13,23,9,17,7,32,23,15,17,26,24,33,13,28,28,37,34,46,44,44,47]"
j3018_10,49,"[0,0,0,0,3,1,1,14,5,11,14,17,22,14,6,25,23,9,28,23,16,26,25,31,37,37,15,37,44,47,37,49]"
j3019_1,40,"[0,0,6,0,5,7,6,6,7,10,14,10,11,13,17,13,17,17,17,22,21,24,24,28,29,29,21,30,34,30,34,40]"
j3019_2,58,"[0,0,0,0,5,5,5,6,11,12,35,26,16,16,12,25,6,39,15,28,34,15,35,42,42,35,37,40,52,48,50,58]"
j3019_3,83,"[0,0,0,0,6,17,6,12,9,17,15,27,27,30,37,44,6,66,57,44,44,54,64,37,41,69,60,67,76,79,77,83]"
j3019_4,39,"[0,0,0,0,10,1,4,13,13,19,10,18,4,24,24,27,19,4,23,32,18,28,29,19,19,19,29,24,37,34,37,39]"
j3019_5,48,"[0,0,0,0,4,13,10,20,5,10,13,21,36,21,15,32,24,22,13,23,25,24,27,19,29,42,34,29,45,39,45,48]"
j3019_6,49,"[0,0,0,0,3,13,3,23,13,5,8,13,2,18,11,23,16,16,35,23,3,35,20,23,26,43,24,36,43,41,48,49]"
j3019_7,57,"[0,0,7,0,10,14,15,17,25,7,7,14,22,26,14,32,10,23,27,37,22,31,32,37,19,37,38,32,36,47,48,57]"
j3019_8,55,"[0,8,0,0,5,2,8,5,24,13,22,29,19,7,9,5,17,20,39,13,22,48,26,30,29,37,39,29,49,52,45,55]"
j3019_9,38,"[0,0,15,0,3,12,16,16,16,7,7,3,24,23,32,34,15,26,15,24,27,29,22,31,24,36,27,28,37,36,37,38]"
j3019_10,47,"[0,0,0,0,1,8,7,7,21,11,21,26,30,7,36,24,29,18,30,29,11,27,30,28,38,41,39,40,42,44,45,47]"
