实例ID,最优目标值（Project Total Cost）,最优工作包划分
j302_10,1730.533823295646,"I1:[1]; A1:[2,3,4,6]; I7:[7]; A2:[5,8,9,10,12,15]; I13:[13]; I11:[11]; I16:[16]; A3:[14,17,18,19,20,21,22,23,24,25,26,27,28,30,31]; I29:[29]; I32:[32]"
j303_1,1926.7433178598299,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,12,13,18,26]; I14:[14]; I22:[22]; I11:[11]; I31:[31]; A2:[15,16,17,19,20,21,23,30]; I24:[24]; A3:[25,27,28,29]; I32:[32]"
j303_2,2070.257493600533,"I1:[1]; I26:[26]; A1:[2,3,4,5,6,7,8,9,21,24,25,27,28,29,30,31]; I23:[23]; I10:[10]; I22:[22]; A2:[11,12,13,14,15,16,17,20]; I18:[18]; A3:[19]; I32:[32]"
j303_3,2052.8558222724287,"I1:[1]; I7:[7]; I2:[2]; A1:[3,4,5,6,8,9,10,11,12,13,14,15,21,23,30,31]; I16:[16]; A2:[17,18,19,20,22,26,27,28,29]; I24:[24]; I25:[25]; I32:[32]"
j303_4,1883.1422923623954,"I1:[1]; A1:[2,3,27,31]; I28:[28]; I4:[4]; A2:[5,6,25,26,29,30]; I7:[7]; A3:[8,9,10,11,22,23,24]; I12:[12]; I20:[20]; A4:[13,14,15,16,17,18,19,21]; I32:[32]"
j303_5,2091.894434768157,"I1:[1]; I2:[2]; A1:[3,4,5,21,30,31]; I29:[29]; I6:[6]; A2:[7,8,9,10,11,12,13,14,24,25,26,28]; I15:[15]; A3:[16,17,18,27]; I19:[19]; A4:[20,22,23]; I32:[32]"
j303_6,2039.8974526110685,"I1:[1]; A1:[2,3,5]; I4:[4]; A2:[6,7,8,11]; I9:[9]; I10:[10]; A3:[12,13,14,15,16,19,21]; I17:[17]; A4:[18,20,22,23,24,25,26,27,28,29,30]; I31:[31]; I32:[32]"
j303_7,2095.5000534585324,"I1:[1]; A1:[2,3,30,31]; I4:[4]; I5:[5]; A2:[6,29]; I7:[7]; A3:[8,9,10,11,12,15,16,19,23,27,28]; I26:[26]; I13:[13]; A4:[14,17,18,20,21,22,24,25]; I32:[32]"
j303_8,1882.8003810727043,"I1:[1]; I2:[2]; A1:[3,4,5,6,24,30,31]; I7:[7]; A2:[8,9,10,11,12,13,14,17,22,28,29]; I16:[16]; A3:[15,18,19,20,27]; I21:[21]; I23:[23]; A4:[25,26]; I32:[32]"
j303_9,1886.3779840224142,"I1:[1]; I31:[31]; A1:[2,3,4,5,6,7,8,11,14,23,28,29,30]; I16:[16]; A2:[9,10,12,13,15,17,26,27]; I18:[18]; I19:[19]; A3:[20]; I21:[21]; A4:[22,24,25]; I32:[32]"
j303_10,1973.2700049921582,"I1:[1]; A1:[2,3,4,5,6,11,13,15,16]; I7:[7]; A2:[8,9,10,12,14,17,18,19,20,29,30,31]; I24:[24]; I21:[21]; I22:[22]; A3:[23,26,27,28]; I25:[25]; I32:[32]"
j304_1,2020.3521350592046,"I1:[1]; I9:[9]; A1:[2,3,29]; I4:[4]; A2:[5,6,7,8,10,11,12,13,14,23,25]; I15:[15]; A3:[16,17]; I18:[18]; A4:[19,20,21,22,24,26,27,28,31]; I30:[30]; I32:[32]"
j304_2,,
j304_3,1726.6847100755954,"I1:[1]; A1:[2,3,4,5,6,7,9,18,31]; I8:[8]; A2:[10,11,30]; I12:[12]; A3:[13,14]; I15:[15]; A4:[16,17,19,20,21,28,29]; I22:[22]; I23:[23]; A5:[24,25,26,27]; I32:[32]"
j304_4,1840.0763919582748,"I1:[1]; A1:[2,29,30,31]; I3:[3]; I4:[4]; A2:[5,6,7,8,9,10,11,26,27,28]; A3:[12,13,14,15,16,17,18,19,20,21,22]; I23:[23]; I24:[24]; I25:[25]; I32:[32]"
j304_5,1788.6510576416463,"I1:[1]; A1:[2,3,4,31]; I5:[5]; A2:[6,7]; I8:[8]; A3:[9]; I10:[10]; A4:[11,12,13,14,15,16,28,29,30]; I17:[17]; I26:[26]; A5:[18,19,20,21,22,23,24,25,27]; I32:[32]"
j304_6,2002.5314354215043,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,14]; I13:[13]; I15:[15]; A2:[16,17,18]; I19:[19]; A3:[20,21,22,23,28]; I30:[30]; I24:[24]; A4:[25,26,27,29,31]; I32:[32]"
j304_7,1959.7568350674317,"I1:[1]; I12:[12]; A1:[2,3,4,5,6,7,8,9,16,30,31]; I29:[29]; I10:[10]; A2:[11,13,14,15,17,18,19,20,21]; I22:[22]; I28:[28]; A3:[23,24,25,26,27]; I32:[32]"
j304_8,,
j304_9,1775.1258439030366,"I1:[1]; I2:[2]; A1:[3,29,31]; I4:[4]; A2:[5,6,7,8,9,10,11,12,26,28,30]; I27:[27]; I13:[13]; A3:[14,15,16,17,18,19,20,21,22,23]; I24:[24]; A4:[25]; I32:[32]"
j304_10,1953.7279881507197,"I1:[1]; A1:[2,3,28,29,31]; I4:[4]; A2:[5,6,7,8,9,10,27,30]; I11:[11]; A3:[12,13,14,15,16,17,26]; I18:[18]; A4:[19,20,21]; I22:[22]; A5:[23]; I24:[24]; A6:[25]; I32:[32]"
j305_1,2229.9711384542343,"I1:[1]; A1:[2,3]; I4:[4]; A2:[5,6,7,8,9,10]; I11:[11]; A3:[12,13]; I14:[14]; A4:[15,16,17,18]; I19:[19]; A5:[20]; I21:[21]; A6:[22,23,24,25,26,27,28,29,30,31]; I32:[32]"
j305_2,2143.143363158879,"I1:[1]; A1:[2,3,4,5]; I6:[6]; I7:[7]; A2:[8,9,10,11,12,13,14,15,16,17]; I18:[18]; A3:[19]; I20:[20]; A4:[21,22,23,24,25]; I26:[26]; A5:[27,28,29,30,31]; I32:[32]"
j305_3,2001.1495338826223,"I1:[1]; A1:[2,3,4,5,6,7,8,9]; I10:[10]; I11:[11]; A2:[12,13,14,15,16]; I17:[17]; I18:[18]; A3:[19,20,21,22,23,24]; I25:[25]; A4:[26,27,28,29,30,31]; I32:[32]"
j305_4,2417.809239408225,"I1:[1]; A1:[2,3,4]; I5:[5]; A2:[6]; I7:[7]; A3:[8,9]; I10:[10]; A4:[11,12,13,14,15,16]; I17:[17]; A5:[18,19,20,21,22,23,24,25,26,27,28,29]; I30:[30]; A6:[31]; I32:[32]"
j305_5,2210.730858819968,"I1:[1]; A1:[2,3]; I4:[4]; A2:[5,6,7,8]; I9:[9]; A3:[10,11,12]; I13:[13]; A4:[14]; I15:[15]; A5:[16,17,18,19,20,21,22,23,24,25]; I26:[26]; A6:[27,28,29,30,31]; I32:[32]"
j305_6,,
j305_8,2607.7917863337775,"I1:[1]; I2:[2]; I3:[3]; A1:[4,5]; I6:[6]; A2:[7,8,9]; I10:[10]; A3:[11,12,13,14,15,16,17,18,19]; I20:[20]; A4:[21,22,23,24,25,26,27,28,29,30,31]; I32:[32]"
j305_9,2418.4785150036396,"I1:[1]; A1:[2,3]; I4:[4]; I5:[5]; A2:[6,7,8]; I9:[9]; A3:[10,11,12]; I13:[13]; A4:[14,15]; I16:[16]; A5:[17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]; I32:[32]"
j305_10,2172.3829759936893,"I1:[1]; A1:[2,3,4,5,6,7]; I8:[8]; A2:[9]; I10:[10]; A3:[11,12,13,14]; I15:[15]; A4:[16,17,18,19]; I20:[20]; A5:[21,22,23,24,25,26,27]; I28:[28]; A6:[29,30,31]; I32:[32]"
