Instance,Optimal value,Optimal solution
j200301_7,1150.9580891907458,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 21]; I20:[20]; I17:[17]; I22:[22];
j200301_8,1165.2637716751835,I1:[1]; A1:[2 3 4 5 6 7 8 9 11 12 13 15 16 17 19 20]; I21:[21]; I10:[10]; A2:[14 18]; I22:[22];
j200301_9,1075.2825671360379,I1:[1]; A1:[2 3 4 5]; A2:[6 7 8]; I9:[9]; A3:[10 11 12]; I13:[13]; A4:[14 15 16 17 18 19 20 21]; I22:[22];
j200301_10,1130.0235288710064,I1:[1]; I16:[16]; A1:[2 3 4 5 6 8 10 14 17 18 19 20 21]; I15:[15]; A2:[7 9 11 12 13]; I22:[22];
j200401_1,1075.6460926211307,I1:[1]; I4:[4]; A1:[2 3 5 9]; A2:[6 7 8 10 11 12 13 14 15 16 18 19 20 21]; I17:[17]; I22:[22];
j200401_2,1039.1560602073714,I1:[1]; A1:[2 3 4 5 6 8 13 15 21]; I7:[7]; I10:[10]; A2:[9 11 12 14 16 17 18 19 20]; I22:[22];
j200401_3,1044.9251175904246,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 13]; I14:[14]; A2:[12 15 16 17 20]; I21:[21]; A3:[18 19]; I22:[22];
j200401_4,930.698832324887,I1:[1]; I19:[19]; A1:[2 3 4 9 12 13 14 15 16 17 18 20 21]; I5:[5]; A2:[6 7 8 10 11]; I22:[22];
j200401_5,1200.5717506894994,I1:[1]; I2:[2]; A1:[3 4]; A2:[5]; A3:[6 7 8 9 10 11 12 14 16]; I18:[18]; A4:[13 15 17 20 21]; A5:[19]; I22:[22];
j200401_6,1127.1178044523676,I1:[1]; A1:[2 3 4 5 7 13 16 17]; I6:[6]; I19:[19]; A2:[8 9 10 11 12 14 15 18 20 21]; I22:[22];
j200401_7,1028.4679163047974,I1:[1]; A1:[2 3 4 5 6 7 8]; I11:[11]; A2:[9 10 12 13 14 15 16 18]; I20:[20]; A3:[17 19 21]; I22:[22];
j200401_8,946.1474218760698,I1:[1]; I11:[11]; A1:[2 3 4 5 6 7 8 10 15 16 17 18 19 20 21]; I9:[9]; A2:[12 13 14]; I22:[22];
j200401_9,1226.8506270794871,I1:[1]; I5:[5]; A1:[2 3 7 8]; I14:[14]; A2:[4 6 9 10 12 17 18 19 20 21]; A3:[11 13 15 16]; I22:[22];
j200401_10,1054.9720717985433,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 14]; A2:[13 16]; I15:[15]; A3:[17 18 19 21]; I20:[20]; I22:[22];
j200501_1,1321.8732202946214,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 12 18 19 20 21]; I11:[11]; I15:[15]; A2:[13 14 16 17]; I22:[22];
j200501_2,1253.9696127267216,I1:[1]; A1:[2 3 4 5 6 7 8 11]; I9:[9]; A2:[10 12]; A3:[13 14 15 16 18]; I17:[17]; A4:[19 20 21]; I22:[22];
j200501_3,832.1289889873992,I1:[1]; A1:[2 3 6 7 9 11 21]; I12:[12]; A2:[4 5 8 10 13 14 15 16 17 19 20]; I18:[18]; I22:[22];
j200501_4,1244.055526714685,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 14 17]; I13:[13]; I20:[20]; A2:[15 16 18 19 21]; I22:[22];
j200501_5,1330.1153107486873,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 14 16 17 19 20 21]; I13:[13]; I15:[15]; A2:[18]; I22:[22];
j200501_6,1246.4877787821886,I1:[1]; A1:[2 3 4 5 6 7 8 9 11]; I15:[15]; A2:[10 12 13 14 16 17 18]; A3:[20 21]; I19:[19]; I22:[22];
j200501_7,1181.0661457583096,I1:[1]; A1:[2 3 4]; I5:[5]; I6:[6]; A2:[7 8 9 10 11 12 13 14 15 16 17 18 19 20 21]; I22:[22];
j200501_8,1340.41418848973,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 13 15]; I12:[12]; I18:[18]; A2:[14 16 17 19 20 21]; I22:[22];
j200501_9,1054.4066814357989,I1:[1]; A1:[2 3 4 5 14 15 16 17 18 19 20 21]; I6:[6]; A2:[7 8 9 12 13]; I10:[10]; A3:[11]; I22:[22];
j200501_10,1025.259990549948,I1:[1]; A1:[2 3 6]; I4:[4]; A2:[5 7 8 9 10 11 12 13 14 15]; I16:[16]; A3:[17 18 19 20 21]; I22:[22];
j200601_1,1007.4885467824942,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 13]; I14:[14]; I15:[15]; A2:[16 17 18 19 20 21]; I22:[22];
j200601_2,918.0257132470311,I1:[1]; A1:[2 3 4 5 16 19 20 21]; I6:[6]; I15:[15]; A2:[7 8 9 10 11 12 13 14 17 18]; I22:[22];
j200601_3,1195.7812099937694,I1:[1]; I2:[2]; A1:[3 4 5]; I6:[6]; A2:[7 8 9 10 11 12 13 14 15 16 17 18 19 20 21]; I22:[22];
j200601_4,1291.920370681084,I1:[1]; A1:[2 4 5 13]; I3:[3]; A2:[6 7 8 9 11 12 21]; I10:[10]; A3:[14 15 16 17 18 19 20]; I22:[22];
j200601_5,1026.6837241149738,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21]; I18:[18]; I17:[17]; I22:[22];
j200601_6,1198.0637492221817,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 20]; I17:[17]; A2:[19]; I21:[21]; I22:[22];
j200601_7,1238.1044420877142,I1:[1]; I14:[14]; A1:[2 3 4 5 6 10 18 19 20 21]; A2:[7 8 9 11 12 13 16 17]; I15:[15]; I22:[22];
j200601_8,957.9409179133565,I1:[1]; I2:[2]; A1:[3 5 6 7]; I4:[4]; A2:[8 9 10 11 12 13 14 15 16 17 18 19 20 21]; I22:[22];
j200601_9,1248.7988548076285,I1:[1]; A1:[2 3 4 6 7 21]; I5:[5]; A2:[8 9 10 11 12 13 14 15 16 17 18 20]; I19:[19]; I22:[22];
j200601_10,1202.498329249729,I1:[1]; A1:[2 3]; A3:[6 17]; I4:[4]; A2:[5 7 8 9 10 11 12 13 14 15 16 18 19 20]; I21:[21]; I22:[22];
j200701_1,1293.78562513819,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 13 14 15 17]; I20:[20]; I16:[16]; A2:[18 19 21]; I22:[22];
j200701_2,1119.255563240111,I1:[1]; A1:[2 3 4 5 6 7 8 9 12]; I10:[10]; I19:[19]; A2:[11 13 14 15 16 17 18 20 21]; I22:[22];
j200701_3,1021.9419880866777,I1:[1]; A1:[2 3 4 5 6 7 8 9]; I10:[10]; A2:[11 12 14]; I13:[13]; A3:[15 16 17 18 19 20 21]; I22:[22];
j200701_4,1333.928973813584,I1:[1]; I20:[20]; A1:[2 3 4 5 6 7 8 9 19 21]; I18:[18]; A2:[10 11 12 13 14 15 16 17]; I22:[22];
j200701_5,1230.734499539139,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 13 14]; I11:[11]; A2:[12 15 16 17 18 19 20]; I21:[21]; I22:[22];
j200701_6,1132.5374860578281,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 13 16]; I14:[14]; A2:[15]; I17:[17]; A3:[18 19 20 21]; I22:[22];
j200701_7,1040.4989312600926,I1:[1]; A1:[2 3 4 5 6 7 8 9 13]; I11:[11]; A2:[10 12 14 15 17]; I16:[16]; A3:[18 19 20 21]; I22:[22];
j200701_8,1027.8467899585173,I1:[1]; I2:[2]; A1:[3 4 5 6 7 10]; I8:[8]; A2:[9 11 12 13 14 15 16 17 18 19 20 21]; I22:[22];
j200701_9,1128.917768974044,I1:[1]; I20:[20]; A1:[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 21]; I18:[18]; I22:[22];
j200701_10,1241.2181246901935,I1:[1]; A1:[2]; I3:[3]; A2:[4 13]; I5:[5]; A3:[6 7 8 9 10 11 12 14 15 16 17 18 19 20 21]; I22:[22];
j200801_1,1267.7570277309092,I1:[1]; A1:[2 3 4 5 7 9]; I6:[6]; A2:[8 10 11 12 13 14 18]; I15:[15]; A3:[16 17 19 20 21]; I22:[22];
j200801_2,1318.796886982312,I1:[1]; A1:[2 3 4 5 6 7 12 13]; I8:[8]; A2:[9 10 11 14 15 16 17 19 21]; I18:[18]; A3:[20]; I22:[22];
j200801_3,959.0966959266377,I1:[1]; A1:[2 3 4 5 6 7 9 20 21]; I8:[8]; A2:[10 11 12 13 14 15 16 17 18]; I19:[19]; I22:[22];
j200801_4,1150.6924984969219,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 18 19 20 21]; I11:[11]; A2:[12 13 14 15 16]; I17:[17]; I22:[22];
j200801_5,1355.0777571031235,I1:[1]; A1:[2 3 4 5 6 7 8 10 18]; I9:[9]; A2:[11 12 13]; I14:[14]; A3:[15 16 17 19 20 21]; I22:[22];
j200801_6,1212.0962702413917,I1:[1]; I2:[2]; I20:[20]; A1:[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21]; I22:[22];
j200801_7,1218.1893759518014,I1:[1]; I5:[5]; A1:[2 3 4 6 7 8 9 10 11 15]; I12:[12]; A2:[13 14 16 17 18 19 20 21]; I22:[22];
j200801_8,1030.6062444156812,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 14 21]; I12:[12]; A2:[13 15 16 20]; I17:[17]; A3:[18 19]; I22:[22];
j200801_9,1154.6159941977253,I1:[1]; A1:[2 3 4 5 6 7 8 9 20 21]; I10:[10]; A2:[11]; I12:[12]; A3:[13 14 15 16 17 18 19]; I22:[22];
j200801_10,1211.3958579306945,I1:[1]; I21:[21]; A1:[2 3 4 5 6 7 8 9 12 20]; I10:[10]; A2:[11 13 14 15 16 17 18 19]; I22:[22];
j200901_1,989.4510683204568,I1:[1]; I2:[2]; A1:[3 4 5 6 7 8 9 10 11 12 13 14 15 16 21]; I17:[17]; A2:[18 19 20]; I22:[22];
j200901_2,1515.7405883972228,I1:[1]; A1:[2 3 4 5 13]; I6:[6]; A2:[7]; I8:[8]; A3:[9 10 11 12 14 15 16 17 18 19 20 21]; I22:[22];
j200901_3,1150.3968197361312,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 21]; I13:[13]; A2:[14 15 16 20]; I17:[17]; A3:[18 19]; I22:[22];
j200901_4,1237.868242481416,I1:[1]; A1:[2 3 4 5 6 7 8]; I9:[9]; I10:[10]; A2:[11 12 13 14 15 16 17 18 19 20 21]; I22:[22];
j200901_5,1177.2881343701697,I1:[1]; I2:[2]; A1:[3 4 5]; I6:[6]; A2:[7 8 9 10 11 12 13 14 15 16 17 18 19 20 21]; I22:[22];
j200901_6,961.6940411763796,I1:[1]; I2:[2]; A1:[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20]; I21:[21]; I22:[22];
j200901_7,1635.7953509674435,I1:[1]; A1:[2 3 4 5 6 7 8 9]; I10:[10]; A2:[11 12 13 14 15 17]; I16:[16]; A3:[18 19 20 21]; I22:[22];
j200901_8,1193.4713985885671,I1:[1]; A1:[2 3 4 5]; I6:[6]; A2:[7 8 9 10]; I11:[11]; A3:[12 13 14 15 16 17 18 19 20 21]; I22:[22];
j200901_9,867.687255356067,I1:[1]; A1:[2 3 4 5 6 7 8 9 12]; I10:[10]; A2:[11 13 14 15 16 17 18 21]; I19:[19]; A3:[20]; I22:[22];
j200901_10,1325.620849370974,I1:[1]; A1:[2 3 4 5 6 7 9]; I8:[8]; A2:[10 12]; I11:[11]; A3:[13 14 15 16 17 18 19 20 21]; I22:[22];
j201001_1,1157.3868361153034,I1:[1]; I2:[2]; A1:[3 4 5 6 7 8 9 10 11 12]; I13:[13]; A2:[14 15 16 17 18 19 20 21]; I22:[22];
j201001_2,1221.740301661616,I1:[1]; A1:[2 3]; I4:[4]; A2:[5 6 7 8 9 10 11 12 13 14]; I15:[15]; A3:[16 17 18 19 20 21]; I22:[22];
j201001_3,1253.3537617653913,I1:[1]; A1:[2 3 4 5 6 7 8 9]; I10:[10]; A2:[11 12 13 14 15 16 17]; I18:[18]; A3:[19 20 21]; I22:[22];
j201001_4,1478.8802828603932,I1:[1]; I2:[2]; A1:[3]; I4:[4]; A2:[5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21]; I22:[22];
j201001_5,1459.3411983156573,I1:[1]; A1:[2 3 4 5 6]; I7:[7]; A2:[8 9 10 11 12 13 14 15 16 17 18 19 20]; I21:[21]; I22:[22];
j201001_6,1507.1383095013348,I1:[1]; A1:[2]; I3:[3]; A2:[4 5 6 7 8 9 10]; I11:[11]; A3:[12 13 14 15 16 17 18 19 20 21]; I22:[22];
j201001_7,1276.3026892549958,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 13]; I14:[14]; A2:[15 16 17 18 19]; I20:[20]; A3:[21]; I22:[22];
j201001_8,1512.8207663444014,I1:[1]; A1:[2 3 4 5 6 7]; I8:[8]; A2:[9 10 11 12 13 14 15 16 17 18 19]; I20:[20]; A3:[21]; I22:[22];
j201001_9,1405.7372186263267,I1:[1]; A1:[2 3 4]; I5:[5]; A2:[6 7 8 9 10 11 12 13 14 15 16 17 18]; I19:[19]; A3:[20 21]; I22:[22];
j201001_10,1692.0077974172498,I1:[1]; A1:[2]; I3:[3]; A2:[4 5 6 7 8 9 10 11]; I12:[12]; A3:[13 14 15 16 17 18 19 20 21]; I22:[22];
j300101_1,1521.791062853286,I1:[1]; I8:[8]; A1:[2 3 4 5 6 7 9 10 11 13 14 26 27 28 31]; I18:[18]; I20:[20]; A2:[12 15 16 17 19 21 22 23 24 25 29 30]; I32:[32];
j300101_2,1302.4242936103258,I1:[1]; A1:[2 4 5 6 7 8 9 10 11 14 17 31]; A3:[18]; I3:[3]; I16:[16]; A2:[12 13 15 19 20 22 23 24 25 26 27 28 29 30]; I21:[21]; I32:[32];
j300101_3,1277.5965422403199,I1:[1]; I15:[15]; I29:[29]; I12:[12]; A1:[2 3 4 5 6 7 8 9 10 11 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31]; I32:[32];
j300101_4,1587.3655144376312,I1:[1]; I31:[31]; A1:[2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 26 27 30]; I21:[21]; I20:[20]; A2:[9 18 19 22 23 24 25 28 29]; I32:[32];
j300101_5,1304.2239548467142,I1:[1]; I27:[27]; A2:[3 5 8 11 12 16 21 22 23 24 25 26 28 30 31]; A1:[2 4 6 7 9 10 14 17 18 19 20 29]; I15:[15]; I13:[13]; I32:[32];
j300101_6,1430.5220472960925,I1:[1]; I10:[10]; I27:[27]; A1:[2 3 4 6 7 8 9 11 13 14 25 28 29 30 31]; A2:[5 12 15 17 18 19 20 21 22 23 24 26]; I16:[16]; I32:[32];
j300101_7,1628.184319252689,I1:[1]; I19:[19]; I3:[3]; I16:[16]; A1:[2 4 5 6 8 9 17 18 31]; A2:[7 10 11 12 13 14 15 20 21 22 23 24 25 26 27 28 29 30]; I32:[32];
j300101_8,1575.156799187359,I1:[1]; I13:[13]; A1:[2 3 4 5 6 8 11 17 29 30]; A2:[9 10 12 14 15 16 18 19 24 27 31]; I7:[7]; I22:[22]; A3:[20 21 23 25 26 28]; I32:[32];
j300101_9,1599.960585571957,I1:[1]; I24:[24]; I3:[3]; A1:[2 5 6 7 8 10 12 23 25 26 27 30]; I20:[20]; A2:[4 9 11 13 14 15 16 17 18 19 21 22 28 29 31]; I32:[32];
j300101_10,1429.8958053462716,I1:[1]; I30:[30]; A1:[2 3 4 5 6 7 8 9 10 11 12 14 18 19 21 22 23 24 26 27 28]; I13:[13]; I20:[20]; A2:[15 16 17 25 29 31]; I32:[32];
j300201_1,1554.8589477448634,I1:[1]; I10:[10]; I2:[2]; A1:[4 5 6 9 11 12 16 17 27 29 30 31]; I3:[3]; I24:[24]; A2:[7 8 14 15 22 23 25 26 28]; A3:[13 18 20 21]; I19:[19]; I32:[32];
j300201_2,1600.1824462350949,I1:[1]; I2:[2]; A1:[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22]; I25:[25]; I27:[27]; I23:[23]; A2:[24 26 28 29 31]; I30:[30]; I32:[32];
j300201_3,1758.9910120425293,I1:[1]; A1:[2 3 4 6 10 13 14 15 21 22 31]; I7:[7]; A4:[11 12 16 20 23 24]; I5:[5]; I19:[19]; A2:[8 18 26 30]; A3:[9 17 25 27]; I28:[28]; I29:[29]; I32:[32];
j300201_4,1914.4777948279107,I1:[1]; I2:[2]; I11:[11]; A1:[3 4 6 7 8 9 12 14 15 20 21 22 27]; I5:[5]; I29:[29]; A2:[10 13 16 17 18 19 24 25 26 28 30 31]; I23:[23]; I32:[32];
j300201_5,1761.630284316693,I1:[1]; I16:[16]; I10:[10]; A1:[2 3 4 5 6 7 8 9 18]; I24:[24]; A2:[11 12 13 14 15 19 20 21 31]; I23:[23]; A3:[17 22 29]; I28:[28]; A4:[25 26 27 30]; I32:[32];
j300201_6,1735.2734145319087,I1:[1]; I10:[10]; I27:[27]; I11:[11]; I28:[28]; A1:[2 3 5 6 21 23 24 25 26 29 30 31]; I4:[4]; A2:[7 8 9 12 13 14 15 16 17 18 19 20 22]; I32:[32];
j300201_7,1549.2056307622786,I1:[1]; A1:[2 3 5 6 7 11 12]; I16:[16]; I4:[4]; I13:[13]; I15:[15]; I20:[20]; A2:[8 9 10 14 18 19 21 22 24 31]; A3:[17 23 25 26 27 28 29 30]; I32:[32];
j300201_8,1771.0992029860872,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 14 15 16 18 19 21]; I23:[23]; I17:[17]; I31:[31]; I13:[13]; I27:[27]; A2:[20 22 24 25 26 28 29 30]; I32:[32];
j300201_9,1819.0015221925432,I1:[1]; A1:[2 5 6 7 8 9 11]; I3:[3]; I14:[14]; A2:[4 10 12 13 15 17 20 21 22 24]; I16:[16]; A3:[18 19 23 31]; I27:[27]; A4:[25 26 28 30]; I29:[29]; I32:[32];
j300201_10,1808.575593752856,I1:[1]; A2:[3 5 8 10]; A1:[2 6 7 9]; I4:[4]; I13:[13]; A3:[11 12 14 15 16 19 20 21 22 24]; A4:[17 18]; I29:[29]; I23:[23]; I27:[27]; A5:[25 26 28 30 31]; I32:[32];
j300301_1,1569.2476340261128,I1:[1]; I13:[13]; I9:[9]; A1:[2 3 4 5 6 7 12 14 17 18 26 28 29 31]; I30:[30]; A2:[8 10 11 15 16 19 20 21 22 23 24 25 27]; I32:[32];
j300301_2,1786.884623645493,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 31]; I18:[18]; I14:[14]; I20:[20]; A2:[19 21 22 23 24 25 26 27 28 29 30]; I32:[32];
j300301_3,1220.2890244369323,I1:[1]; A1:[2 3 6 8 10 14 18 20 29 31]; I4:[4]; A2:[5 7 9 11 12 13 15 16 17 19 21 22 23 24 27 28 30]; I26:[26]; I25:[25]; I32:[32];
j300301_4,1766.5118687379224,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 13 14 15 18]; I20:[20]; A2:[16 17 19 21 22 25 28 29 31]; I23:[23]; I24:[24]; A3:[26 27 30]; I32:[32];
j300301_5,1826.4433348355337,I1:[1]; I11:[11]; A1:[2 3 4 5 6 7 8 9 12 13]; I15:[15]; A2:[10 14 16 17 18 20 21 23 30 31]; I19:[19]; A3:[22 25 26 27 28 29]; A4:[24]; I32:[32];
j300301_6,1597.7087689582502,I1:[1]; A1:[3 5 11 12]; I2:[2]; A2:[4 6 7 18 20]; I8:[8]; A3:[9 10 13 14 15 16 17 22]; I19:[19]; A4:[21 23 24 25 26 27 28 29 30 31]; I32:[32];
j300301_7,1683.7378904282198,I1:[1]; I7:[7]; I29:[29]; I24:[24]; A1:[2 3 11 19 20 21 22 23 25 26 27 28 30 31]; A2:[4 5 6 8 9 10 12 13 14 15 16 17 18]; I32:[32];
j300301_8,1799.201026702285,I1:[1]; I14:[14]; I2:[2]; A1:[3 4 5 6 7 10 12 16 17 18 24 28 29 30 31]; A2:[8 9 11 13 15 20 21 22 23 25 26 27]; I19:[19]; I32:[32];
j300301_9,1754.931897265403,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 12 13 17]; I18:[18]; A2:[11 14 15 16 19 21 23]; A3:[20 22 24 25 30]; I27:[27]; I28:[28]; A4:[26 29 31]; I32:[32];
j300301_10,1635.1443464497956,I1:[1]; I16:[16]; I10:[10]; A1:[2 3 4 5 7 8 9 12 13 18]; I22:[22]; A2:[6 11 14 19 23]; A3:[15 17 20 21 24 25 26 27 28 29 30 31]; I32:[32];
j300401_1,1825.0813658629277,I1:[1]; A1:[2 3 4 5 6 7 8]; I14:[14]; I9:[9]; A2:[10 11 12 13 15 16 17]; I19:[19]; A3:[18 20 21 22 23 24 25 26 28]; I27:[27]; I31:[31]; A4:[29 30]; I32:[32];
j300401_2,1624.0624003960934,I1:[1]; I4:[4]; A1:[2 3 5 8 9]; I6:[6]; A2:[7 10 11]; I12:[12]; I15:[15]; I19:[19]; A3:[13 14 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31]; I32:[32];
j300401_3,1495.4265291081908,I1:[1]; I11:[11]; A1:[2 3 4 5 8 9 19 25 29 31]; I6:[6]; I13:[13]; I30:[30]; A2:[7 10 12 14 15 16 17 18 21 22 23 24 26 27 28]; I20:[20]; I32:[32];
j300401_4,1500.1962383971565,I1:[1]; I24:[24]; I30:[30]; A1:[2 13 20 22 23 25 26 27 28 29 31]; I3:[3]; I19:[19]; A2:[4 5 6 7 8 9 10 11 15 16 17 18 21]; I12:[12]; A3:[14]; I32:[32];
j300401_5,1554.3937655172313,I1:[1]; I5:[5]; I7:[7]; A1:[2 3 4 8 11]; I10:[10]; I6:[6]; A2:[9 12 13 14 15 16 17 18 19 20 21 22 23 24 26 27 28 29 30 31]; I25:[25]; I32:[32];
j300401_6,1835.9219183080168,I1:[1]; A1:[2]; I7:[7]; I3:[3]; I11:[11]; A2:[4 6 13 20 30 31]; I5:[5]; A3:[8 9 10 12 14 15 16 23 24 25 26 27 29]; I28:[28]; A4:[17 18 19 21 22]; I32:[32];
j300401_7,1538.246658886621,I1:[1]; I2:[2]; I5:[5]; A1:[3 4 6 7 8 9 10 18 19 21]; I12:[12]; I11:[11]; A2:[13 14 15 16 17 20 22 23 24 25 26 27 28 30 31]; I29:[29]; I32:[32];
j300401_8,1882.3985673111317,I1:[1]; A1:[2]; I4:[4]; I3:[3]; A2:[5 6 7 8 10 11 12]; I9:[9]; A3:[13 14 15 18 19 21 23 26 27 31]; I16:[16]; I20:[20]; A4:[17 22 24 25 28 29 30]; I32:[32];
j300401_9,1851.4160562648833,I1:[1]; A1:[2 3 4 5 6 7 8 9 12 19 21]; I11:[11]; I10:[10]; I13:[13]; I30:[30]; A2:[14 15 16 17 18 20 22 23 24 26 29 31]; I27:[27]; A3:[25 28]; I32:[32];
j300401_10,1730.533823295646,I1:[1]; A1:[2 3 4 6]; I7:[7]; A2:[5 8 9 10 12 15]; I13:[13]; I11:[11]; I16:[16]; A3:[14 17 18 19 20 21 22 23 24 25 26 27 28 30 31]; I29:[29]; I32:[32];
